"OPCUNO";"OPADRT";"OPADID";"OPCUNM";"OPCUA1";"OPCUA2";"OPCUA3";"OPCUA4";"OPTOWN";"OPPONO";"OPECAR";"OPMODL";"OPPHNO";"OPCSCD";"OPVRNO";"OPFVDT";"OPLVDT";"OPBCKO";"OPPADL";"OKDIVI";"OKCUNO";"OKSTAT";"OKCUCL";"OKCUTP";"OKADID";"OKSMCD";"OKCUCD";"OKDTFM";"OKSDST";"OKPYNO";"OKLHCD";"OKBLCD";"OKCFC1";"OKCFC2";"OKCFC3";"OKCFC4";"OKCFC5";"OKCFC6";"OKCFC7";"OKCFC8";"OKCFC9";"OKCFC0";"OKFACI";"OKEMAL";"OCCUNO";"OCASCD";"OCFDAT";"OCTDAT"
"1022414";"1";"";"INTERSPORT VERSPORT 00452000";"SA VERSPORT";"114 AV GAL DE GAULE";"33500 LIBOURNE";"";"LIBOURNE";"33500";"33";"3";"0557554575";"FR";"FR16421611245";"0";"99999999";"1";"1";"510";"1022414";"20";"LGI";"0";"001";"LABATUT";"EUR";"DMY";"MET";"1022300";"FR";"0";"N7";".00";"12";"740";"2";"";".00";"HUT";"HUT";"T";"";"cycles.versport@gmail.com";"1022414";"CWFR";"20130601";"20210101"
"1022414";"1";"001";"INTERSPORT VERSPORT 00452000";"SA VERSPORT";"";"33500 LIBOURNE";"";"";"33500";"33";"";"";"FR";"";"0";"99999999";"1";"1";"510";"1022414";"20";"LGI";"0";"001";"LABATUT";"EUR";"DMY";"MET";"1022300";"FR";"0";"N7";".00";"12";"740";"2";"";".00";"HUT";"HUT";"T";"";"cycles.versport@gmail.com";"1022414";"CWFR";"20130601";"20210101"
"1022417";"1";"";"VALSPORT SARL 00142000 E0";"ZAC VALENTIN";"CC CARREFOUR";"25048 BESANCON";"";"BESANCON";"25048";"25";"3";"0381885227";"FR";"FR67341170132";"0";"99999999";"1";"1";"510";"1022417";"20";"LGI";"0";"001";"RADASEB";"EUR";"DMY";"MET";"1022300";"FR";"0";"N7";".00";"12";"740";"2";"";".00";"HUT";"HUT";"T";"";"cy-valentin@reseau-intersport.fr";"1022417";"CWFR";"20090101";"20230101"
"1022417";"1";"001";"VALSPORT SARL 00142000";"INTERSPORT";"ZAC VALENTIN";"25048 BESANCON";"";"";"25048";"25";"";"";"FR";"";"0";"99999999";"1";"1";"510";"1022417";"20";"LGI";"0";"001";"RADASEB";"EUR";"DMY";"MET";"1022300";"FR";"0";"N7";".00";"12";"740";"2";"";".00";"HUT";"HUT";"T";"";"cy-valentin@reseau-intersport.fr";"1022417";"CWFR";"20090101";"20230101"
"70101009";"1";"";"CYCLES CAP COOL I8E7R";"ZAC LA RIVOIRE";"150 RUE CHARLES DESIRE BIGOT";"01300 VIRIGNIN - BELLEY";"";"VIRIGNIN - BELLEY";"01300";"01";"3";"0479814858";"FR";"91350781191";"0";"99999999";"1";"1";"510";"70101009";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N2";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cap.cool@orange.fr";"70101009";"POSTE";"20140901";"20210101"
"70101012";"1";"";"MATERIEL VELO E6R";".";"956 CHE D'AMEREINS";"01090 FRANCHELEINS";"";"FRANCHELEINS";"01090";"01";"CAM";"0474694694";"FR";"24479228504";"0";"99999999";"1";"1";"510";"70101012";"20";"LTR";"0";"#001";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N7";".00";"12";"710";"1";"";".00";"TRA";"TRA";"E";"";"fournisseur@materiel-velo.com";"70101012";"POSTE";"20110101";"20210101"
"70101012";"1";"001";"MATERIEL VELO";"ZA D'EPINAY";"671 RUE DE LA FARNIERE";"69400 GLEIZE";"";"GLEIZE";"69400";"69";"CAM";"";"FR";"";"0";"99999999";"1";"1";"510";"70101012";"20";"LTR";"0";"#001";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N7";".00";"12";"710";"1";"";".00";"TRA";"TRA";"E";"";"fournisseur@materiel-velo.com";"70101012";"POSTE";"20110101";"20210101"
"70101013";"1";"";"CYCLES AVENT'URE SARL I8E6R";".";"43 RUE DE LA LEVEE";"01750 ST LAURENT SUR SAONE";"";"ST LAURENT SUR SAONE";"01750";"01";"CAM";"0385406391";"FR";"13515052702";"0";"99999999";"1";"1";"510";"70101013";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cycles-aventure@orange.fr";"70101013";"CWFR";"20150101";"20230101"
"70101013";"1";"";"CYCLES AVENT'URE SARL I8E6R";".";"43 RUE DE LA LEVEE";"01750 ST LAURENT SUR SAONE";"";"ST LAURENT SUR SAONE";"01750";"01";"CAM";"0385406391";"FR";"13515052702";"0";"99999999";"1";"1";"510";"70101013";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cycles-aventure@orange.fr";"70101013";"POSTE";"20140901";"20210101"
"70101017";"1";"";"SPORT 2000 SARL E7R";".";"ZAC DE CEZILLE";"01340 JAYAT";"";"JAYAT";"01340";"01";"3";"0474221414";"FR";"40793847880";"0";"99999999";"1";"1";"510";"70101017";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N2";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"sport2000.jayat@gmail.com";"70101017";"POSTE";"20160101";"20210101"
"70101021";"1";"";"BERTHOUD SAS";".";"ROUTE DE MONTREVEL";"01190 PONT DE VAUX";"";"PONT DE VAUX";"01190";"01";"3";"0385514646";"FR";"47379347644";"0";"99999999";"1";"1";"510";"70101021";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N7";".00";"";"710";"1";"";".00";"TRA";"LIB";"E";"";"contact@berthoudcycles.fr";"70101021";"CWFR";"20060601";"20230101"
"70101025";"1";"";"REPAR' AIN VELO SAS I9E9";".";"13 GRANDE RUE";"01340 MONTREVEL-EN-BRESSE";"";"MONTREVEL-EN-BRESSE";"01340";"01";"3";"0474148154";"FR";"63838087583";"0";"99999999";"1";"1";"510";"70101025";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"";".00";"";"710";"1";"";".00";"TRA";"LIB";"E";"";"repar.ain.velo@gmail.com";"70101025";"POSTE";"20190301";"20210101"
"70101078";"1";"";"CLAISSE PATRICK ETS R";".";"12 RUE DU DOCTEUR PONCET";"01350 CULOZ";"";"CULOZ";"01350";"01";"CAM";"0479870367";"FR";"51351188222";"0";"99999999";"1";"1";"510";"70101078";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N7";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"sarlclaisse@orange.fr";"70101078";"POSTE";"20140901";"20210101"
"70101110";"1";"";"VELOLAND CYCLES GUERRIER E7R";"PARC D'ACTIVITE DE LA NEUVE";"44 RUE DU PLATEAU";"01440 VIRIAT";"";"VIRIAT";"01440";"01";"CAM";"0474222948";"FR";"60393481874";"0";"99999999";"1";"1";"510";"70101110";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N7";"600.00";"12";"710";"1";"";"600.00";"TRA";"TRA";"E";"";"cycles.guerrier@wanadoo.fr";"70101110";"POSTE";"20110101";"20210101"
"70101111";"1";"";"DI LULLO CYCLES bel I9R";".";"7 RUE DES MONTAINS";"01100 BELLIGNAT";"";"BELLIGNAT";"01100";"01";"CAM";"0474774917";"FR";"05399404029";"0";"99999999";"1";"1";"510";"70101111";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";"210.00";"TRA";"LIB";"T";"";"cycles.dilullo@wanadoo.fr";"70101111";"POSTE";"20110101";"20210101"
"70101111";"1";"000001";"DI LULLO CYCLES";"72 AVENUE DE SARRAIL";"";"01500 AMBERIEU EN BUGEY";"";"";"01500";"01";"";"";"FR";"";"0";"99999999";"1";"1";"510";"70101111";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";"210.00";"TRA";"LIB";"T";"";"cycles.dilullo@wanadoo.fr";"70101111";"POSTE";"20110101";"20210101"
"70101112";"1";"";"DI LULLO CYCLES amb I9R";".";"AVENUE DE LA LIBERATION";"01500 AMBERIEU EN BUGEY";"";"AMBERIEU EN BUGEY";"01500";"01";"CAM";"0474382300";"FR";"";"0";"99999999";"1";"1";"510";"70101112";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"70101111";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"T";"";"cyclesdilulloamb@wanadoo.fr";"70101112";"POSTE";"20110101";"20210101"
"70101112";"1";"001";"DI LULLO SARL";"AVENUE DE LA LIBERATION";"";"01500 AMBERIEU EN BUGEY";"";"FR";"01500";"01";"";"";"FR";"";"0";"99999999";"1";"1";"510";"70101112";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"70101111";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"T";"";"cyclesdilulloamb@wanadoo.fr";"70101112";"POSTE";"20110101";"20210101"
"70101903";"1";"";"LIBERTY BIKES R";".";"428 RUE DES ENTREPRENEURS";"01170 GEX";"";"GEX";"01170";"01";"CAM";"0450410367";"FR";"94507696540";"0";"99999999";"1";"1";"510";"70101903";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"";"E";".00";"TRA";"755";"E";"";"contacts@liberty-bikes.com";"70101903";"POSTE";"20140101";"20210101"
"70101907";"1";"";"DUBOIS BERNARD STATION ELAN E6R";".";"11 PLACE BERTIN";"01190 PONT DE VAUX";"";"PONT DE VAUX";"01190";"01";"CAM";"0385303304";"FR";"58434317483";"0";"99999999";"1";"1";"510";"70101907";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"";".00";"12";"732";"";"";".00";"TRA";"755";"T";"";"bernardnanns@orange.fr";"70101907";"POSTE";"20140101";"20210101"
"70101912";"1";"";"ESAT MECANIQUE LE TAIC E5 R";".";"ZI DE CORON/214 ROUTE DE PARVES";"01300 BELLEY";"";"BELLEY";"01300";"01";"CAM";"0479813433";"FR";"81775643257";"0";"99999999";"1";"1";"510";"70101912";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"1";"";".00";"TRA";"755";"E";"";"commercialesat.ducolombier@odyneo.fr";"70101912";"POSTE";"20130101";"20210101"
"70101912";"1";"";"ESAT MECANIQUE LE TAIC E5 R";".";"ZI DE CORON/214 ROUTE DE PARVES";"01300 BELLEY";"";"BELLEY";"01300";"01";"CAM";"0479813433";"FR";"81775643257";"0";"99999999";"1";"1";"510";"70101912";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"1";"";".00";"TRA";"755";"E";"";"commercialesat.ducolombier@odyneo.fr";"70101912";"CWFR";"20130101";"20230101"
"70101915";"1";"";"PIGNON SUR ROUE E7R";"MME ROZIER RACHEL";"27 PLACE DE LA MAIRIE";"01310 POLLIAT";"";"POLLIAT";"01310";"01";"CAM";"0627936135";"FR";"24524204203";"0";"99999999";"1";"1";"510";"70101915";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"";"";".00";"TRA";"755";"E";"";"rachel.rozier@orange.fr";"70101915";"CWFR";"20160101";"20210101"
"70101915";"1";"";"PIGNON SUR ROUE E7R";"MME ROZIER RACHEL";"27 PLACE DE LA MAIRIE";"01310 POLLIAT";"";"POLLIAT";"01310";"01";"CAM";"0627936135";"FR";"24524204203";"0";"99999999";"1";"1";"510";"70101915";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"";"";".00";"TRA";"755";"E";"";"rachel.rozier@orange.fr";"70101915";"POSTE";"20160101";"20210101"
